Episode,AvgReward,P1_WinRate,P1_Annihil,P1_Attrit,P2_Annihil,P2_Attrit,DrawRate,AvgSteps,Timestamp
22000,-150.10,0.80,0.36,0.44,0.12,0.06,0.02,1129.9,2025-11-30T15:10:37.780158
22100,-150.28,0.69,0.35,0.34,0.15,0.06,0.10,1148.5,2025-11-30T15:17:43.009905
22200,-204.07,0.71,0.29,0.42,0.15,0.03,0.11,1168.6,2025-11-30T15:24:38.658241
22300,-109.16,0.75,0.41,0.34,0.10,0.05,0.10,1058.6,2025-11-30T15:29:46.989514
22400,-104.80,0.72,0.37,0.35,0.17,0.04,0.07,1114.2,2025-11-30T15:36:48.545991
22500,-199.47,0.69,0.37,0.32,0.11,0.10,0.10,1216.4,2025-11-30T15:44:06.971918
22600,-115.17,0.58,0.35,0.23,0.18,0.07,0.17,1104.9,2025-11-30T15:49:59.570523
22700,-179.93,0.63,0.31,0.32,0.16,0.07,0.14,1185.7,2025-11-30T15:57:01.733998
22800,-151.53,0.69,0.33,0.36,0.16,0.07,0.08,1145.0,2025-11-30T16:04:06.751500
22900,-150.94,0.68,0.30,0.38,0.20,0.05,0.07,1147.3,2025-11-30T16:10:00.800584
23000,-414.27,0.49,0.19,0.30,0.07,0.24,0.20,1303.5,2025-11-30T16:17:34.749680
23100,-161.81,0.75,0.37,0.38,0.11,0.04,0.10,1150.7,2025-11-30T16:22:56.269739
23200,-153.82,0.72,0.40,0.32,0.11,0.06,0.11,1165.5,2025-11-30T16:30:05.892855
23300,-152.90,0.65,0.33,0.32,0.17,0.11,0.07,1165.1,2025-11-30T16:35:41.073347
23400,-159.59,0.63,0.32,0.31,0.18,0.12,0.07,1170.6,2025-11-30T16:41:00.296950
23500,-53.65,0.64,0.39,0.25,0.22,0.04,0.10,1068.6,2025-11-30T16:47:52.845427
23600,-159.21,0.63,0.33,0.30,0.16,0.11,0.10,1168.5,2025-11-30T16:55:02.419937
23700,-98.83,0.59,0.31,0.28,0.24,0.05,0.12,1093.9,2025-11-30T17:01:51.698680
23800,-156.91,0.64,0.30,0.34,0.18,0.07,0.11,1147.0,2025-11-30T17:08:57.428542
23900,-209.85,0.80,0.32,0.48,0.09,0.07,0.04,1184.6,2025-11-30T17:14:24.655175
24000,-146.57,0.70,0.41,0.29,0.11,0.08,0.11,1162.1,2025-11-30T17:21:32.667063
24100,-102.83,0.77,0.41,0.36,0.13,0.04,0.06,1101.0,2025-11-30T17:26:54.118090
24200,-101.84,0.58,0.29,0.29,0.27,0.06,0.09,1120.5,2025-11-30T17:32:23.023682
24300,-139.73,0.65,0.34,0.31,0.17,0.07,0.11,1147.6,2025-11-30T17:37:57.594545
24400,-24.91,0.57,0.36,0.21,0.26,0.06,0.11,1054.2,2025-11-30T17:44:47.364356
24500,-122.05,0.60,0.28,0.32,0.26,0.07,0.07,1134.2,2025-11-30T17:51:50.260970
24600,-373.61,0.41,0.17,0.24,0.12,0.24,0.23,1276.2,2025-11-30T17:58:53.158370
24700,-94.38,0.66,0.38,0.28,0.17,0.08,0.09,1087.9,2025-11-30T18:05:47.938356
24800,-203.88,0.70,0.37,0.33,0.09,0.09,0.12,1206.6,2025-11-30T18:13:03.460911
24600,-549.84,0.53,0.04,0.49,0.04,0.28,0.15,1444.8,2025-11-30T18:25:19.444013
24700,-531.01,0.47,0.04,0.43,0.08,0.26,0.19,1437.7,2025-11-30T18:29:43.195312
24800,-528.50,0.53,0.05,0.48,0.07,0.25,0.15,1434.2,2025-11-30T18:34:06.539335
24900,-558.87,0.44,0.01,0.43,0.05,0.39,0.12,1449.8,2025-11-30T18:38:32.946496
25000,-506.98,0.47,0.08,0.39,0.05,0.34,0.14,1418.2,2025-11-30T18:42:55.747059
25100,-558.50,0.41,0.04,0.37,0.05,0.33,0.21,1437.2,2025-11-30T18:50:34.073896
100,285.82,0.64,0.62,0.02,0.31,0.01,0.04,783.9,2025-11-30T18:57:04.788400
200,219.03,0.55,0.51,0.04,0.38,0.02,0.05,885.0,2025-11-30T18:59:56.302168
300,139.99,0.49,0.46,0.03,0.36,0.01,0.14,956.3,2025-11-30T19:03:00.911376
400,167.40,0.52,0.49,0.03,0.35,0.01,0.12,939.9,2025-11-30T19:06:01.922844
500,148.32,0.60,0.57,0.03,0.27,0.04,0.09,971.4,2025-11-30T19:09:08.293795
600,99.92,0.59,0.54,0.05,0.21,0.06,0.14,964.0,2025-11-30T19:14:23.220894
700,223.28,0.69,0.63,0.06,0.25,0.00,0.06,860.8,2025-11-30T19:17:14.032175
800,193.22,0.69,0.65,0.04,0.20,0.03,0.08,888.1,2025-11-30T19:20:07.411869
900,97.72,0.58,0.53,0.05,0.23,0.04,0.15,977.8,2025-11-30T19:23:14.668041
1000,147.18,0.72,0.62,0.10,0.18,0.03,0.07,925.5,2025-11-30T19:26:13.015321
1100,157.97,0.63,0.57,0.06,0.24,0.06,0.07,906.5,2025-11-30T19:32:30.932060
1200,115.36,0.67,0.61,0.06,0.17,0.04,0.12,946.0,2025-11-30T19:35:33.357637
1300,-35.56,0.61,0.47,0.14,0.16,0.10,0.13,1103.1,2025-11-30T19:39:01.850506
1400,2.63,0.62,0.45,0.17,0.22,0.07,0.09,1065.8,2025-11-30T19:42:24.285125
1500,87.35,0.64,0.52,0.12,0.24,0.04,0.08,987.7,2025-11-30T19:45:33.125010
1600,-248.67,0.71,0.34,0.37,0.09,0.08,0.12,1270.9,2025-11-30T19:52:53.203773
